customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,Customer Age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
232,Zaria,Koeppke,Female,94,1987-11-11,33,Professor,Retail,Mass Customer,N,No,12 
233,Art,Barwell,Male,34,1986-08-08,34,Environmental Tech,Property,Mass Customer,N,No,13 
234,Mead,Alpes,Female,71,1969-08-12,51,Chief Design Engineer,Retail,High Net Worth,N,No,12 
235,Leona,Phateplace,Female,30,1976-12-26,44,Social Worker,Health,Mass Customer,N,No,15 
236,Tybalt,Gillingwater,Male,79,1954-10-30,66,Research Nurse,Health,Affluent Customer,N,No,14 
237,Reginald,Dartan,Male,18,1974-03-07,46,Account Coordinator,Property,High Net Worth,N,Yes,11 
238,Max,Bilborough,Male,54,1984-02-04,36,Programmer III,n/a,Mass Customer,N,Yes,14 
239,Wells,Pressman,Male,62,1992-12-13,28,Registered Nurse,Health,Affluent Customer,N,No,3 
240,Gavin,Fawks,Male,49,1989-07-28,31,Administrative Assistant III,IT,High Net Worth,N,Yes,15 
241,Quillan,Duigan,Male,94,1987-05-09,33,Quality Engineer,Entertainment,Mass Customer,N,No,20 
242,Taite,Droghan,Male,17,1992-03-20,28,Nurse,Property,Affluent Customer,N,No,8 
243,Barbara,Croxley,Female,94,1976-09-02,44,Teacher,Manufacturing,High Net Worth,N,Yes,14 
245,Noell,Grahlmans,Female,6,2001-09-26,19,Associate Professor,Financial Services,Affluent Customer,N,No,1 
246,Binny,Whight,Female,63,1991-02-28,29,Technical Writer,Manufacturing,High Net Worth,N,No,9 
247,Kristal,Joysey,Female,62,1983-05-06,37,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13 
248,Inger,Eskell,Female,76,1978-04-15,42,Clinical Specialist,Health,Affluent Customer,N,Yes,12 
249,D'arcy,Slay,Male,65,1992-09-13,28,Quality Control Specialist,IT,High Net Worth,N,No,9 
252,Anthea,Ruskin,Female,39,1983-01-24,37,Account Coordinator,Property,Mass Customer,N,Yes,13 
253,Amalee,Choak,Female,82,1997-05-11,23,Food Chemist,Health,Mass Customer,N,Yes,1 
254,Barbie,Rubi,Female,98,1961-09-22,59,Information Systems Manager,Retail,Mass Customer,N,No,14 
255,Keeley,Kruger,Female,2,1954-01-15,66,Desktop Support Technician,IT,Mass Customer,N,No,5 
256,Linell,Beadle,Female,16,1975-05-07,45,Director of Sales,Health,High Net Worth,N,Yes,21 
258,Othella,Keher,Female,24,1992-05-03,28,Administrative Officer,Manufacturing,High Net Worth,N,No,9 
259,Venita,Dymick,Female,70,1983-07-22,37,Senior Developer,Health,High Net Worth,N,Yes,3 
260,Farand,Marriner,Female,47,1979-08-30,41,Senior Quality Engineer,Health,High Net Worth,N,Yes,22 
261,Marve,Pryn,Male,74,1977-10-15,43,Structural Engineer,n/a,Mass Customer,N,No,8 
263,Tonia,Leigh,Female,89,1985-11-19,35,Dental Hygienist,Health,High Net Worth,N,No,7 
264,Jedd,Spiby,Male,31,1977-12-07,43,Technical Writer,Health,Mass Customer,N,No,11 
265,Pennie,Stoile,Male,74,1965-10-05,55,Sales Representative,Retail,High Net Worth,N,Yes,18 
266,Lelia,Garatty,Female,69,1989-07-19,31,Account Executive,Retail,Affluent Customer,N,No,18 
268,Kacie,Kidston,Female,60,1978-10-18,42,Chemical Engineer,Manufacturing,Mass Customer,N,No,10 
269,Zacherie,Grindley,Male,55,1954-09-19,66,Nurse Practicioner,Property,Mass Customer,N,Yes,9 
270,Auberta,Roundtree,Female,38,1970-12-10,50,Budget/Accounting Analyst III,n/a,Mass Customer,N,Yes,17 
271,Doll,Burtwell,Female,51,1991-02-13,29,Financial Advisor,Financial Services,Mass Customer,N,No,4 
272,Arlie,Crean,Female,22,1987-06-06,33,Product Engineer,Retail,Mass Customer,N,Yes,1 
273,Nevile,Abraham,Male,54,1963-04-22,57,Computer Systems Analyst IV,n/a,Mass Customer,N,No,19 
274,Tessi,Hesse,Female,66,1976-09-15,44,Social Worker,Health,Mass Customer,N,Yes,14 
277,Jehanna,Alvarado,Female,69,1956-02-19,64,VP Product Management,n/a,High Net Worth,N,No,15 
278,Sydney,Georger,Male,22,1997-07-30,23,Executive Secretary,n/a,Affluent Customer,N,Yes,4 
279,Tamera,Hinckes,Female,0,1981-09-09,39,Web Designer I,Manufacturing,Mass Customer,N,No,11 
280,Welch,MacAllaster,Male,15,1995-03-22,25,Geologist I,n/a,Affluent Customer,N,Yes,5 
281,Jeanette,Sizzey,Female,51,1972-12-27,48,Cost Accountant,Financial Services,High Net Worth,N,Yes,8 
282,Lauren,Curcher,Male,82,1989-10-27,31,VP Quality Control,Argiculture,High Net Worth,N,Yes,11 
283,Sari,Noye,Female,34,1991-02-04,29,Assistant Manager,Retail,Mass Customer,N,No,2 
284,Seth,Moorman,Male,38,1986-04-11,34,Financial Analyst,Financial Services,High Net Worth,N,Yes,9 
285,Julee,Janovsky,Female,3,1977-11-19,43,Community Outreach Specialist,Manufacturing,Mass Customer,N,No,12 
286,Kiley,Canaan,Male,99,1989-08-01,31,Accounting Assistant II,Manufacturing,Affluent Customer,N,Yes,11 
287,Hannie,Wodham,Female,41,1985-05-06,35,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,4 
289,Modestia,Lithgow,Female,43,1970-04-12,50,Clinical Specialist,Health,High Net Worth,N,No,10 
291,Aime,Burston,Female,63,1971-10-22,49,Assistant Media Planner,Entertainment,Mass Customer,N,No,4 
292,Gelya,Gerant,Female,42,1961-11-24,59,VP Product Management,n/a,Affluent Customer,N,Yes,9 
293,Virgilio,Willcocks,Male,80,1989-12-10,31,Administrative Assistant III,Manufacturing,Mass Customer,N,Yes,20 
294,Magnum,Slowan,Male,39,1959-04-01,61,Recruiting Manager,n/a,High Net Worth,N,No,5 
295,Lena,Chape,Female,64,1964-12-26,56,Database Administrator II,n/a,Mass Customer,N,Yes,18 
